IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140357292,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,04/30/2014,11:56,TENDERLOIN,"ARREST, BOOKED",100 Block of EDDY ST,-122.409687904333,37.7842664943116,"(37.7842664943116, -122.409687904333)"
140357593,ASSAULT,THREATS AGAINST LIFE,Wednesday,04/30/2014,13:35,MISSION,"ARREST, BOOKED",0 Block of WOODWARD ST,-122.420846227656,37.7693647160366,"(37.7693647160366, -122.420846227656)"
140356379,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,04/30/2014,00:41,MISSION,"ARREST, CITED",19TH ST / SHOTWELL ST,-122.415929849548,37.7604330003754,"(37.7604330003754, -122.415929849548)"
140357593,OTHER OFFENSES,CONSPIRACY,Wednesday,04/30/2014,13:35,MISSION,"ARREST, BOOKED",0 Block of WOODWARD ST,-122.420846227656,37.7693647160366,"(37.7693647160366, -122.420846227656)"
140357606,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,14:04,TENDERLOIN,PSYCHOPATHIC CASE,500 Block of OFARRELL ST,-122.413054319833,37.7857440517232,"(37.7857440517232, -122.413054319833)"
140357612,MISSING PERSON,MISSING JUVENILE,Wednesday,04/30/2014,07:30,INGLESIDE,LOCATED,1000 Block of CAYUGA AV,-122.439806982073,37.7220759958855,"(37.7220759958855, -122.439806982073)"
140357612,MISSING PERSON,FOUND PERSON,Wednesday,04/30/2014,07:30,INGLESIDE,LOCATED,1000 Block of CAYUGA AV,-122.439806982073,37.7220759958855,"(37.7220759958855, -122.439806982073)"
140357628,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,08:00,CENTRAL,PSYCHOPATHIC CASE,1100 Block of BUSH ST,-122.416219196278,37.7892459629229,"(37.7892459629229, -122.416219196278)"
140358353,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,04/30/2014,00:45,CENTRAL,NONE,400 Block of POST ST,-122.409254608291,37.7882189788034,"(37.7882189788034, -122.409254608291)"
140357662,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,04/30/2014,11:00,CENTRAL,NONE,300 Block of SUTTER ST,-122.405894420706,37.7896023539705,"(37.7896023539705, -122.405894420706)"
140356404,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,04/30/2014,00:42,CENTRAL,"ARREST, CITED",400 Block of BROADWAY ST,-122.404663375963,37.7980872902388,"(37.7980872902388, -122.404663375963)"
140356432,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,04/30/2014,00:50,MISSION,"ARREST, CITED",SOUTH VAN NESS AV / 22ND ST,-122.416569016036,37.7555687969189,"(37.7555687969189, -122.416569016036)"
140357684,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Wednesday,04/30/2014,14:00,PARK,NONE,1700 Block of HAYES ST,-122.444854207466,37.7739806732834,"(37.7739806732834, -122.444854207466)"
140357725,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,14:09,INGLESIDE,PSYCHOPATHIC CASE,300 Block of MOULTRIE ST,-122.415917646281,37.7393220357617,"(37.7393220357617, -122.415917646281)"
140358381,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,07:00,TARAVAL,NONE,JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912705,37.721622172626,"(37.721622172626, -122.472321912705)"
140357781,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,04/30/2014,01:00,SOUTHERN,NONE,0 Block of STEVENSON ST,-122.399666755349,37.789570190161,"(37.789570190161, -122.399666755349)"
140357781,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,04/30/2014,01:00,SOUTHERN,NONE,0 Block of STEVENSON ST,-122.399666755349,37.789570190161,"(37.789570190161, -122.399666755349)"
140358397,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,04/30/2014,18:35,SOUTHERN,NONE,1000 Block of HOWARD ST,-122.409413016595,37.7780068152609,"(37.7780068152609, -122.409413016595)"
140358654,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,04/30/2014,08:00,MISSION,NONE,2900 Block of 21ST ST,-122.413964454716,37.7574436183414,"(37.7574436183414, -122.413964454716)"
140357800,NON-CRIMINAL,LOST PROPERTY,Wednesday,04/30/2014,15:00,TARAVAL,NONE,1400 Block of 39TH AV,-122.498381508674,37.7607290872388,"(37.7607290872388, -122.498381508674)"
140357816,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,04/30/2014,08:30,INGLESIDE,"ARREST, BOOKED",300 Block of MARIETTA DR,-122.443870647178,37.7381793546459,"(37.7381793546459, -122.443870647178)"
140356460,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,04/30/2014,00:20,TENDERLOIN,NONE,500 Block of JONES ST,-122.413020857151,37.7862133939723,"(37.7862133939723, -122.413020857151)"
140357816,OTHER OFFENSES,CONSPIRACY,Wednesday,04/30/2014,08:30,INGLESIDE,"ARREST, BOOKED",300 Block of MARIETTA DR,-122.443870647178,37.7381793546459,"(37.7381793546459, -122.443870647178)"
140357816,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,04/30/2014,08:30,INGLESIDE,"ARREST, BOOKED",300 Block of MARIETTA DR,-122.443870647178,37.7381793546459,"(37.7381793546459, -122.443870647178)"
140356482,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,04/30/2014,01:29,TENDERLOIN,NONE,300 Block of EDDY ST,-122.414222123471,37.7836927561358,"(37.7836927561358, -122.414222123471)"
140357816,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Wednesday,04/30/2014,08:30,INGLESIDE,"ARREST, BOOKED",300 Block of MARIETTA DR,-122.443870647178,37.7381793546459,"(37.7381793546459, -122.443870647178)"
